LOCATION,latitude,longitude
AUS,-25.2744,133.7751
CAN,56.1304,-106.3468
JPN,36.2048,138.2529
KOR,35.9078,127.7669
MEX,23.6345,-102.5528
NZL,-40.9006,174.8860
TUR,38.9637,35.2433
USA,38.9637,-95.7129
DZA,28.0339,1.6596
ARG,-38.4161,-63.6167
BGD,23.6850,90.3563
BRA,-14.2350,-51.9253
CHL,-35.6751,-71.5430
CHN,35.8617,104.1954
COL,4.5709,-74.2973
EGY,26.8206,30.8025
ETH,9.1450,40.4897
GHA,7.9465,-1.0232
HTI,18.9712,-72.2852
IND,20.5937,78.9629
IDN,-0.7893,113.9213
IRN,32.4279,53.6880
ISR,31.0461,34.8516
KAZ,48.0196,66.9237
MYS,4.2105,101.9758
MOZ,-18.6657,35.5296
NGA,9.0820,8.6753
PAK,30.3753,69.3451
PRY,-23.4425,-58.4438
PER,-9.1900,-75.0152
PHL,12.8797,121.7740
RUS,61.5240,105.3188
SAU,23.8859,45.0792
ZAF,-30.5595,22.9375
SDN,12.8628,30.2176
TZA,-6.3690,34.8888
THA,15.8700,100.9925
UKR,48.3794,31.1656
URY,-32.5228,-55.7658
VNM,14.0583,108.2772
ZMB,-13.1339,27.8493
EU28,54.5260,15.2551